CVTA_ID,SampleDateTime,ForkLength,LAD_Race,Genetic_Assignment,Prob_Assignment,Spring_Pop_Assignment,Facility,Date_Assigned
U101519CVP,2010-12-04 10:00,120,Winter,Late Fall,0.999,NA,CVP,2025-06-27
U100493SWP,2010-12-23 11:00,135,Winter,Late Fall,1,NA,SWP,2025-06-27
U110015SWP,2011-02-18 15:00,132,Winter,Late Fall,1,NA,SWP,2025-06-27
U110022SWP,2011-02-21 23:00,148,Winter,Late Fall,1,NA,SWP,2025-06-27
U110151SWP,2011-02-22 13:00,140,Winter,Fall,0.506,NA,SWP,2025-06-27
U110144SWP,2011-02-22 08:00,136,Winter,Fall,0.587,NA,SWP,2025-06-27
U110145SWP,2011-02-22 08:00,155,Winter,Fall,0.522,NA,SWP,2025-06-27
U110171SWP,2011-02-28 07:00,140,Winter,Late Fall,0.999,NA,SWP,2025-06-27
U110189CVP,2011-03-01 04:00,120,Winter,Late Fall,1,NA,CVP,2025-06-27
U110177SWP,2011-03-01 08:00,210,Winter,Fall,0.37,NA,SWP,2025-06-27
U110210SWP,2011-03-08 09:00,159,Winter,Late Fall,0.906,NA,SWP,2025-06-27
U110045SWP,2011-03-20 00:00,103,Spring,Fall,0.998,NA,SWP,2025-06-27
U110319CVP,2011-03-21 06:00,173,Winter,Late Fall,0.574,NA,CVP,2025-06-27
U110333CVP,2011-03-22 11:59,151,Winter,Spring,0.997,Butte Creek Spring,CVP,2025-06-27
U110266SWP,2011-03-27 23:59,99,Spring,Fall,0.665,NA,SWP,2025-06-27
U110278SWP,2011-03-29 00:00,67,Fall,Fall,0.95,NA,SWP,2025-06-27
U110284SWP,2011-03-29 00:00,99,Spring,Spring,0.801,Feather River,SWP,2025-06-27
U110285SWP,2011-03-29 00:00,112,Spring,Spring,0.744,Feather River,SWP,2025-06-27
U110304SWP,2011-03-29 23:59,164,Winter,Fall,0.563,NA,SWP,2025-06-27
U110291SWP,2011-03-29 09:00,141,Winter,Late Fall,1,NA,SWP,2025-06-27
U110310SWP,2011-03-31 11:00,98,Spring,Fall,0.887,NA,SWP,2025-06-27
U110311SWP,2011-03-31 13:00,182,Winter,Late Fall,0.427,NA,SWP,2025-06-27
U110308SWP,2011-03-31 03:00,87,Spring,Late Fall,1,NA,SWP,2025-06-27
U110335SWP,2011-04-03 00:00,86,Spring,Fall,0.966,NA,SWP,2025-06-27
U110345SWP,2011-04-04 00:00,108,Spring,Spring,0.93,Feather River,SWP,2025-06-27
U110365SWP,2011-04-07 00:00,91,Spring,Fall,0.74,NA,SWP,2025-06-27
U110398SWP,2011-04-10 00:00,102,Spring,Fall,0.541,NA,SWP,2025-06-27
U110410SWP,2011-04-11 00:00,113,Spring,Fall,0.944,NA,SWP,2025-06-27
U110402SWP,2011-04-11 00:00,82,Spring,Fall,0.919,NA,SWP,2025-06-27
U110418SWP,2011-04-12 00:00,104,Spring,Fall,0.633,NA,SWP,2025-06-27
U110502SWP,2011-04-18 00:00,116,Spring,Spring,0.908,Feather River,SWP,2025-06-27
U110506SWP,2011-04-18 23:00,111,Spring,Fall,0.986,NA,SWP,2025-06-27
