Survey,Date,Station,Depth,Net,Tow Duration,Meter,TowVolume
1,1/15/2025,101,13.0,1,12,20370,5856.4
1,1/15/2025,102,3.5,1,12,23483,6751.4
1,1/15/2025,103,4.0,1,12,23168,6660.8
1,1/14/2025,104,4.0,1,12,21830,6276.1
1,1/14/2025,105,3.8,1,12,23000,6612.5
1,1/14/2025,106,5.6,1,12,23526,6763.7
1,1/15/2025,107,14.3,1,12,20172,5799.5
1,1/14/2025,108,11.9,1,12,22542,6480.8
1,1/14/2025,109,20.6,1,12,23496,6755.1
1,1/14/2025,110,16.5,1,12,23280,6693.0
1,1/15/2025,140,15.1,1,12,22640,6509.0
1,1/14/2025,142,4.4,1,12,23450,6741.9
1,1/13/2025,211,8.5,1,12,18851,5419.7
1,1/13/2025,212,3.8,1,12,20488,5890.3
1,1/13/2025,213,22.9,1,12,17358,4990.4
1,1/13/2025,214,17.2,1,12,23312,6702.2
1,1/13/2025,215,15.1,1,12,19936,5731.6
1,1/13/2025,216,10.2,1,12,23549,6770.3
1,1/13/2025,243,6.6,1,12,19276,5541.9
1,1/13/2025,244,4.7,1,12,22770,6546.4
1,1/9/2025,317,4.1,1,12,25092,7214.0
1,1/9/2025,318,4.0,1,12,23253,6685.2
1,1/9/2025,319,3.1,1,12,22372,6432.0
1,1/9/2025,320,4.7,1,12,24868,7149.6
1,1/9/2025,321,2.7,1,12,19560,5623.5
1,1/9/2025,322,2.6,1,12,21548,6195.1
1,1/9/2025,323,3.5,1,12,20462,5882.8
1,1/9/2025,325,12.0,1,12,17922,5152.6
1,1/9/2025,345,13.0,1,12,9727,2796.5
1,1/9/2025,346,12.0,1,12,24128,6936.8
1,1/8/2025,427,9.6,1,12,9502,2731.8
1,1/8/2025,428,9.8,1,12,15762,4531.6
1,1/8/2025,429,9.6,1,12,17545,5044.2
1,1/8/2025,430,4.0,1,12,25378,7296.2
1,1/8/2025,431,4.0,1,12,23899,6871.0
1,1/8/2025,432,11.1,1,12,15927,4579.0
1,1/8/2025,433,12.8,1,12,22606,6499.2
1,1/8/2025,447,4.0,1,12,22918,6588.9
1,1/8/2025,534,3.5,1,12,22345,6424.2
1,1/8/2025,535,12.3,1,12,19611,5638.2
1,1/7/2025,736,12.5,1,12,23766,6832.7
1,1/7/2025,750,9.8,1,12,21099,6066.0
1,1/7/2025,751,10.5,1,12,20294,5834.5
