"Stratum","mean_depth","total_volume_km3","surface_area_km2","volume_Top10_km3","volume_Top2_km3","WaterSurfaceElevation"
"Central SF Bay",-11.9040699682214,3.19648324868081,268.5202,1.89831823326972,0.530890614097524,1
"San Pablo Bay and Carquinez Strait",-5.04794745546969,1.24518174199342,246.6709,1.04560023267821,0.471221541548693,1
"South SF Bay",-5.1227533619835,1.86573392502722,364.2053,1.73612125799783,0.702694684774435,1
"Cache Slough and Liberty Island",-3.17593586776251,0.047434190152967,14.9355,0.0461129639780402,0.027109151287663,1.25
"Confluence",-7.33777753789402,0.533209877679622,72.6664,0.468904360789573,0.142215004588377,1.25
"Napa River",-4.08031727143461,0.0370876358069777,9.0894,0.0367552532927871,0.0164749911005139,1.25
"North and South Forks Mokelumne River",-4.94348455626777,0.0534044636613607,10.803,0.0523659065534353,0.0211802015298843,1.25
"Sacramento River Deep Water Ship Channel",-8.28666852985904,0.0740977326602936,8.9418,0.0654369471410751,0.0174682649088621,1.25
"Sacramento River Mainstem",-5.23726411095539,0.0798960351918578,15.2553,0.0793733873418212,0.0300494415373206,1.25
"South Delta",-4.78332891256276,0.350300874583948,73.2337,0.336350636655748,0.14352877715348,1.25
"Suisun and Honker Bays",-4.89174152276686,0.455019034616423,93.0178,0.424345200597811,0.179376241728783,1.25
"Suisun Marsh and Montezuma Slough",-4.82971112062596,0.0507245240154862,10.5026,0.0495472997906327,0.0199047027471423,1.25
